case_id,finding_id,vulnerability_id,package_name,package_version,status,confidence_level,risk_score,scanner_names,reachability_status,dependency_scope,justification
case_010,ea78a180a9ae06551f9e,CVE-2024-35195,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_010,c9e3889ac45e265041cf,CVE-2024-47081,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_010,02f460ad7b9398cf21c0,CVE-2026-25645,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_010,ee6ddc365d25f5b412e0,PYSEC-2018-28,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_010,48cb1a8aa7ff85d04b24,PYSEC-2023-74,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_011,ca2f712989ff7d36fc34,1096466,minimist,0.0.8,under_investigation,low,57.0,npm_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_011,4421cb015d6251153ad2,1097677,minimist,0.0.8,under_investigation,low,99.0,npm_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_012,3c9c2a79670f826dde78,CVE-2024-35195,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_012,893142c3023bb0a20789,CVE-2024-47081,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_012,923d94770a3d40ceaea0,CVE-2026-25645,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_012,bc49a54214d1635ea1d0,PYSEC-2018-28,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_012,00038eb9bb0dfb81077c,PYSEC-2023-74,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_013,d9c7b061cadd3fac5c62,1096466,minimist,0.0.8,under_investigation,low,57.0,npm_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_013,584b446fe1529ff19370,1097677,minimist,0.0.8,under_investigation,low,99.0,npm_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_014,a37de33001c8d81cf663,CVE-2024-35195,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_014,9cab54d3f556818f27eb,CVE-2024-47081,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_014,b177d747a14b673082d5,CVE-2026-25645,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_014,1f33321a533d386526a2,PYSEC-2018-28,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_014,292e3780817eb8d3a4cf,PYSEC-2023-74,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_015,a65401f422ae11934e1e,1096466,minimist,0.0.8,under_investigation,low,57.0,npm_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_015,b1bcb72b55d2ab97efc6,1097677,minimist,0.0.8,under_investigation,low,99.0,npm_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_016,a2d49b613b907cc60c90,CVE-2024-35195,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_016,7e66676936963cf5a71e,CVE-2024-47081,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_016,6aac5c36f3b213a1bed9,CVE-2026-25645,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_016,c394b1b77c7587c9f2de,PYSEC-2018-28,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_016,e908a676abf6caee7fee,PYSEC-2023-74,requests,2.19.1,under_investigation,low,7.0,pip_audit,declared_not_used,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_017,5b76eaab3610a8af058c,1100530,express,4.16.0,under_investigation,low,97.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_017,e08705857748d60ba734,1111636,express,4.16.0,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_017,6fcd0bdc3d7c7a31e762,1104118,qs,6.5.1,under_investigation,low,60.0,npm_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_017,05792c8dfd3351fb7286,1113719,qs,6.5.1,under_investigation,low,22.0,npm_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_018,7bebf237fbfc461c4f5d,CVE-2026-27205,flask,0.12.2,under_investigation,low,53.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_018,db90da56d22d2276688b,PYSEC-2018-66,flask,0.12.2,under_investigation,low,53.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_018,57dd608e3d1af78c40ac,PYSEC-2019-179,flask,0.12.2,under_investigation,low,53.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_018,8f5ac911b6bf592dd32e,PYSEC-2023-62,flask,0.12.2,under_investigation,low,53.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_018,bc3bf75fb5a7259c12c2,CVE-2024-22195,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_018,789160f56279bbd9a5a1,CVE-2024-34064,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_018,3ded2f5cac813afee8a5,CVE-2024-56326,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_018,200fcc381fd02460d766,CVE-2025-27516,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_018,edade59c3034ed4a4b87,PYSEC-2019-217,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_018,10f9db271974da78af5c,PYSEC-2021-66,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_019,fa9d71bbf2896549aa3a,1100530,express,4.16.0,under_investigation,low,97.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_019,5e9c2bf5fb6791548430,1111636,express,4.16.0,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_019,a5fa799bab3849ec0bff,1104118,qs,6.5.1,under_investigation,low,60.0,npm_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_019,2ff8544aa8483b8c5967,1113719,qs,6.5.1,under_investigation,low,22.0,npm_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_020,663c3174755221bad64a,CVE-2026-27205,flask,0.12.2,under_investigation,low,53.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_020,38ae27ba53c10af219ba,PYSEC-2018-66,flask,0.12.2,under_investigation,low,53.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_020,a29c743de67329760efb,PYSEC-2019-179,flask,0.12.2,under_investigation,low,53.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_020,e372f93ebdada10b75a3,PYSEC-2023-62,flask,0.12.2,under_investigation,low,53.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_020,b42e3bb88b0c08f985d8,CVE-2024-22195,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_020,dd3309273e4d0f97023a,CVE-2024-34064,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_020,6707c5935c6c650fe445,CVE-2024-56326,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_020,2c10f637f57b9c148b74,CVE-2025-27516,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_020,a1fbcd41bdde37bc9ffb,PYSEC-2019-217,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_020,a5579bea8ec8b999f3e2,PYSEC-2021-66,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_021,fbe8c3351a4aa3daa501,1100530,express,4.16.0,under_investigation,low,97.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_021,3d9f44081bd207805296,1111636,express,4.16.0,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_021,607b0e0584b8e5403e59,1104118,qs,6.5.1,under_investigation,low,60.0,npm_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_021,69fd8f073f58a30ab20e,1113719,qs,6.5.1,under_investigation,low,22.0,npm_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_022,b28313b1b573c35db0c7,CVE-2026-27205,flask,0.12.2,under_investigation,low,53.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_022,77005605feb35cd06ef5,PYSEC-2018-66,flask,0.12.2,under_investigation,low,53.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_022,acbe419f1f993b2a29c4,PYSEC-2019-179,flask,0.12.2,under_investigation,low,53.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_022,a986ce036eed10c86285,PYSEC-2023-62,flask,0.12.2,under_investigation,low,53.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_022,afa4a94ffa7bb36b27ee,CVE-2024-22195,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_022,c41a8eb09c1cb71d4bb0,CVE-2024-34064,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_022,6c0a166cfb7e005a3697,CVE-2024-56326,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_022,a75e60098eaa8df22b68,CVE-2025-27516,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_022,974434df5bbf6c667d11,PYSEC-2019-217,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_022,743ab0294b77f63f9b0e,PYSEC-2021-66,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_023,b9d56e0335ac33a939cc,1100530,express,4.16.0,under_investigation,low,97.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_023,2eca861b667e59cfeddb,1111636,express,4.16.0,under_investigation,low,100.0,npm_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_023,ec2acca33b475fced4aa,1104118,qs,6.5.1,under_investigation,low,60.0,npm_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_023,20bb33a1f2ff288dd466,1113719,qs,6.5.1,under_investigation,low,22.0,npm_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_024,c5e4266beecd374a9631,CVE-2026-27205,flask,0.12.2,under_investigation,low,53.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_024,b8a5dbf099ef8c9453ad,PYSEC-2018-66,flask,0.12.2,under_investigation,low,53.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_024,45638add9dc0f2ffb8d8,PYSEC-2019-179,flask,0.12.2,under_investigation,low,53.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_024,b8c9df1ce3e63f506a64,PYSEC-2023-62,flask,0.12.2,under_investigation,low,53.0,pip_audit,reachable,runtime,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_024,3cc3cbe2fae3d180867a,CVE-2024-22195,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_024,c83ef258f05a9e7a63b8,CVE-2024-34064,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_024,0269a2cbaadbdccc984c,CVE-2024-56326,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_024,37aa266b2467b0353d2a,CVE-2025-27516,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_024,5604d1fe98adf4c99c5f,PYSEC-2019-217,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_024,82497308b920a31d4a46,PYSEC-2021-66,jinja2,2.10,under_investigation,low,,pip_audit,transitive_only,transitive,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_025,aa79a4b2072e9a6d461e,1096466,minimist,0.0.8,under_investigation,low,21.0,npm_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_025,2eb7b7a27761f8e9459a,1097677,minimist,0.0.8,under_investigation,low,63.0,npm_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_026,09bdae03ad62550c0db4,CVE-2024-37891,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_026,ab47f2b158c8529406e0,CVE-2025-50181,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_026,237b2ed9c2079ddad1f0,CVE-2025-66418,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_026,8951afaacf7dcf579ad8,CVE-2025-66471,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_026,565235d0d7f6582f9e49,CVE-2026-21441,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_026,2cf893312a03cf232fd9,PYSEC-2019-132,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_026,d7b746928d908d87e911,PYSEC-2019-133,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_026,20c5bf90d15b5b090b9d,PYSEC-2020-148,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_026,24bdcb6165755c51732e,PYSEC-2021-108,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_026,db2873a4b62c6d238db3,PYSEC-2023-192,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_026,ec3d9df3e9afb2fadb64,PYSEC-2023-207,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_026,04d086f15bea4caab34b,PYSEC-2023-212,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_027,465933d7cae65beed4fd,1096466,minimist,0.0.8,under_investigation,low,21.0,npm_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_027,dfae8ad704da95274191,1097677,minimist,0.0.8,under_investigation,low,63.0,npm_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_028,e7d36891696764a732ce,CVE-2024-37891,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_028,78d2332c4655b1027688,CVE-2025-50181,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_028,5a935501b457126849b5,CVE-2025-66418,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_028,0a871ecf13f19f752b8e,CVE-2025-66471,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_028,cee7ccdabcae7ef891db,CVE-2026-21441,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_028,ec3049588b2ab2480b0b,PYSEC-2019-132,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_028,d7b1c42af4c005d582a6,PYSEC-2019-133,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_028,bcbbfe93a60dd9647b8c,PYSEC-2020-148,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_028,7672464a1223167cadbc,PYSEC-2021-108,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_028,2b2f3a9f3ff9dd607652,PYSEC-2023-192,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_028,8cead381b51f76c6c592,PYSEC-2023-207,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_028,67021a446f605505242e,PYSEC-2023-212,urllib3,1.24.1,under_investigation,low,,pip_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_029,685559859052d3c6ea29,1096466,minimist,0.0.8,under_investigation,low,21.0,npm_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
case_029,0947d9e9159ac6687121,1097677,minimist,0.0.8,under_investigation,low,63.0,npm_audit,dev_only,development,"Evidence is incomplete or static reachability is unknown, so the status is not promoted to affected or not_affected."
