case_id,package_name,package_version,ecosystem,package_manager,dependency_scope,direct_or_transitive,declared,imported,called,reachability_status,source_files,reachability_confidence,evidence_reason,limitation_note
case_021,express,4.16.0,npm,npm,runtime,direct,True,True,True,reachable,testbed/cases/case_021/src/index.js,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_021,qs,6.5.1,npm,npm,transitive,transitive,True,False,False,transitive_only,,medium,dependency is present only as a transitive dependency in local manifests or lockfiles,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_022,Flask,0.12.2,pypi,pip,runtime,direct,True,True,True,reachable,testbed/cases/case_022/app/main.py,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_022,Jinja2,2.10,pypi,pip,transitive,transitive,True,False,False,transitive_only,,medium,dependency is present only as a transitive dependency in local manifests or lockfiles,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_023,express,4.16.0,npm,npm,runtime,direct,True,True,True,reachable,testbed/cases/case_023/src/index.js,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_023,qs,6.5.1,npm,npm,transitive,transitive,True,False,False,transitive_only,,medium,dependency is present only as a transitive dependency in local manifests or lockfiles,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_024,Flask,0.12.2,pypi,pip,runtime,direct,True,True,True,reachable,testbed/cases/case_024/app/main.py,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_024,Jinja2,2.10,pypi,pip,transitive,transitive,True,False,False,transitive_only,,medium,dependency is present only as a transitive dependency in local manifests or lockfiles,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_025,minimist,0.0.8,npm,npm,development,direct,True,False,False,dev_only,,medium,dependency is declared in a development dependency scope,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_026,urllib3,1.24.1,pypi,pip,development,direct,True,False,False,dev_only,,medium,dependency is declared in a development dependency scope,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_027,minimist,0.0.8,npm,npm,development,direct,True,False,False,dev_only,,medium,dependency is declared in a development dependency scope,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_028,urllib3,1.24.1,pypi,pip,development,direct,True,False,False,dev_only,,medium,dependency is declared in a development dependency scope,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_029,minimist,0.0.8,npm,npm,development,direct,True,False,False,dev_only,,medium,dependency is declared in a development dependency scope,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_030,urllib3,1.24.1,pypi,pip,development,direct,True,False,False,dev_only,,medium,dependency is declared in a development dependency scope,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_031,minimist,0.0.8,npm,npm,development,direct,True,False,False,dev_only,,medium,dependency is declared in a development dependency scope,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_032,lodash,4.17.21,npm,npm,runtime,direct,True,True,True,reachable,testbed/cases/case_032/src/index.js,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_033,PyYAML,6.0.2,pypi,pip,runtime,direct,True,True,True,reachable,testbed/cases/case_033/app/main.py,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_034,lodash,4.17.21,npm,npm,runtime,direct,True,True,True,reachable,testbed/cases/case_034/src/index.js,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_035,PyYAML,6.0.2,pypi,pip,runtime,direct,True,True,True,reachable,testbed/cases/case_035/app/main.py,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_036,lodash,4.17.21,npm,npm,runtime,direct,True,True,True,reachable,testbed/cases/case_036/src/index.js,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_037,PyYAML,6.0.2,pypi,pip,runtime,direct,True,True,True,reachable,testbed/cases/case_037/app/main.py,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_038,lodash,4.17.21,npm,npm,runtime,direct,True,True,True,reachable,testbed/cases/case_038/src/index.js,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_039,openssl,1.1.1d-0+deb10u3,linux-package,dockerfile,container_layer,container_layer,True,False,False,unknown,,low,container-layer package observed in local fixture metadata; static source analysis cannot prove package reachability,"static analysis cannot fully resolve dynamic imports, container package execution, or runtime configuration"
case_040,libssl1.1,1.1.1d-0+deb10u3,linux-package,dockerfile,container_layer,container_layer,True,False,False,unknown,,low,container-layer package observed in local fixture metadata; static source analysis cannot prove package reachability,"static analysis cannot fully resolve dynamic imports, container package execution, or runtime configuration"
case_041,libc6,2.28-10,linux-package,dockerfile,container_layer,container_layer,True,False,False,unknown,,low,container-layer package observed in local fixture metadata; static source analysis cannot prove package reachability,"static analysis cannot fully resolve dynamic imports, container package execution, or runtime configuration"
case_042,openssl,1.1.1d-0+deb10u3,linux-package,dockerfile,container_layer,container_layer,True,False,False,unknown,,low,container-layer package observed in local fixture metadata; static source analysis cannot prove package reachability,"static analysis cannot fully resolve dynamic imports, container package execution, or runtime configuration"
case_043,libssl1.1,1.1.1d-0+deb10u3,linux-package,dockerfile,container_layer,container_layer,True,False,False,unknown,,low,container-layer package observed in local fixture metadata; static source analysis cannot prove package reachability,"static analysis cannot fully resolve dynamic imports, container package execution, or runtime configuration"
case_044,libc6,2.28-10,linux-package,dockerfile,container_layer,container_layer,True,False,False,unknown,,low,container-layer package observed in local fixture metadata; static source analysis cannot prove package reachability,"static analysis cannot fully resolve dynamic imports, container package execution, or runtime configuration"
case_045,nanoid,5.0.7,npm,npm,runtime,direct,True,False,False,declared_not_used,,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_046,packaging,24.1,pypi,pip,runtime,direct,True,True,True,reachable,testbed/cases/case_046/app/main.py,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_047,nanoid,5.0.7,npm,npm,runtime,direct,True,False,False,declared_not_used,,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_048,packaging,24.1,pypi,pip,runtime,direct,True,True,True,reachable,testbed/cases/case_048/app/main.py,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_049,nanoid,5.0.7,npm,npm,runtime,direct,True,False,False,declared_not_used,,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_050,packaging,24.1,pypi,pip,runtime,direct,True,True,True,reachable,testbed/cases/case_050/app/main.py,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
